Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,Total_Segments_Rotation,Rotation_Threshold,Session_Gap,End_Of_Stream,kNN_Accuracy_k1_Segments,kNN_Accuracy_k1_Rotation,kNN_Accuracy_k3_Segments,kNN_Accuracy_k3_Rotation,kNN_Accuracy_k5_Segments,kNN_Accuracy_k5_Rotation,kNN_Accuracy_k10_Segments,kNN_Accuracy_k10_Rotation,kNN_Accuracy_k20_Segments,kNN_Accuracy_k20_Rotation,Utility_Score,Privacy_Score_k1_Segments,Privacy_Score_k3_Segments,Privacy_Score_k5_Segments,Privacy_Score_k10_Segments,Privacy_Score_k20_Segments,Privacy_Score_k1_Rotation,Privacy_Score_k3_Rotation,Privacy_Score_k5_Rotation,Privacy_Score_k10_Rotation,Privacy_Score_k20_Rotation,Privacy_Score_Avg_Segments,Privacy_Score_Avg_Rotation,Pareto_Member,Chord_Distance,Plateau_Member
65,10,10000,20,60,0.0965406195689351,162.46575685295102,40266,775177,40266,0.0519442656322362,0.8566804742658773,0.0913752601018864,0.0122746159909285,0.0166393483335816,0.0252819678602435,0.0309690557790691,0.0342657225382074,0.0425669299160582,0.0512928015150088,0.063105349426315,0.0766431408568623,0.1006059702975214,0.8340971023964612,0.961620289772199,0.9593418837183805,0.9596488983936673,0.9597135531112271,0.9612709485071449,0.9013186513086286,0.9069255317162945,0.9031112782692963,0.9030381017659355,0.8970781699147906,0.9603191147005237,0.902294346594989,True,0.20222729094405567,True
150,10,7500,20,30,0.0942994849868164,133.08632031457222,44783,946301,44783,0.0473242657463111,0.8324507741194398,0.120224960134249,0.0134428686010053,0.0166357769689391,0.0276053813744252,0.0317531206038005,0.0374341779201332,0.0447044637474041,0.0551843440934755,0.0670566956211062,0.082419864292651,0.1064243127972668,0.7023652105941323,0.9410929555773782,0.935838983813461,0.9350160583181714,0.9383001017325899,0.9403809276572775,0.9035657840608129,0.9042752008979857,0.8951310673569421,0.8916747258635387,0.8859125686559078,0.9381258054197756,0.8961118693670376,False,-1.0,False
150,10,7500,20,60,0.0945492839090008,153.37347877500667,44783,821131,44783,0.0545381918354075,0.8069102250432635,0.138551583121329,0.0118507278375801,0.0166581068709108,0.0244187590043488,0.0318424402116874,0.0332516979629316,0.0448161132572628,0.0497801203462054,0.0671683451309648,0.0745958927381867,0.106491302503182,0.79065760694591,0.9718316401245883,0.9708562302080024,0.9702010417439146,0.9708575229136835,0.9714188690826555,0.9030758825097378,0.9034756083527692,0.894352778744052,0.8910451263754602,0.8855124678382021,0.971033060814569,0.8954923727640443,False,-1.0,False
150,10,3000,7,30,0.1108773652188378,124.5231427283226,132731,1011376,132731,0.1312380361013115,0.7711375393523279,0.0976244245463606,0.0139858964420749,0.0170871913870911,0.0283425748682982,0.0328559266486352,0.0384812374428501,0.0446692935335377,0.0570984480549271,0.0673392048579457,0.0857860973564727,0.1069908310794011,0.5897718400444873,0.9141911959895387,0.9113473112396994,0.9098122453376355,0.9103476824696926,0.9105872402824877,0.8823037638077695,0.8811077979253978,0.8789648609230855,0.8743705615418412,0.8682765567261368,0.9112571350638108,0.8770047081848462,False,-1.0,False
150,10,3000,7,60,0.1113142754763476,141.97013367362354,132731,887086,132731,0.1496258536376405,0.7390715218141195,0.1113026245482399,0.0125838982917101,0.0170344531420693,0.025547692106515,0.0328634606836383,0.0348004590310296,0.0446918956385471,0.0523421629920887,0.0673768750329614,0.0789664136284418,0.1070134331844105,0.6657034517925132,0.9410451397281037,0.9418451850113909,0.9405628000224358,0.9387877703352736,0.9374251910957678,0.8824490387781384,0.8806306344924404,0.878426651485408,0.8738106987811836,0.867794126057118,0.9399332172385944,0.8766222299188577,False,-1.0,False
65,10,7500,20,30,0.1059954155992806,138.76385741028645,42464,907583,42464,0.0467880072676548,0.8753348178623883,0.0778771748699568,0.0139491374342622,0.019663715146948,0.028499872738912,0.036878296910324,0.0386025300165384,0.0501130369253956,0.0569082937869043,0.0734975508666164,0.0850126104168985,0.1171345139412208,0.7290607690314908,0.9197166504391523,0.9144167267100909,0.9135948215641373,0.9163119993480399,0.9184901030197482,0.858985440648254,0.8609931792247214,0.8578278527946631,0.8580288383426372,0.8497708894975513,0.9165060602162336,0.8571212401015653,False,-1.0,False
65,10,7500,20,60,0.1069692003628851,161.91308048232054,42464,777823,42464,0.0545933972124763,0.8545376004566592,0.0908690023308644,0.0124938450007263,0.0197579125847776,0.0255173734898556,0.0369960437076111,0.0347006966880639,0.0503720798794272,0.0519115531425529,0.0738978899773926,0.0777914769812669,0.1175584024114544,0.8298092490464678,0.9470787880772609,0.9464618052679563,0.9456890307478156,0.9456826770261204,0.9464042746893973,0.8569976190914825,0.8593041087471578,0.8556336989127002,0.855694360807536,0.8478371111677228,0.9462633151617101,0.85509337974532,False,-1.0,True
65,10,3000,7,30,0.1294447906966574,130.75259008857017,117924,963191,117924,0.1224305459664801,0.8139559028271651,0.0636135512063547,0.0145900449651211,0.0194108069604151,0.0295143953795249,0.0370153658288389,0.0400325584437562,0.0506088667277229,0.0592063256405012,0.0763966622570469,0.0889107144896495,0.1200010176045588,0.6295650484308515,0.8841397031507755,0.8800857704241762,0.8783764168270954,0.8792588030097575,0.8797993938012969,0.8386423046199752,0.8370396452729005,0.8323603430832491,0.8249672012422486,0.8200779071693975,0.8803320174426202,0.8306174802775542,False,-1.0,False
65,10,3000,7,60,0.1304464350943203,150.9827785257267,117924,834133,117924,0.1413731383364523,0.7851709499564218,0.0734559117071258,0.0133132246296453,0.0194362470743868,0.0269381501511149,0.0370832061327634,0.0366164628422565,0.0506936671076286,0.0548305845710456,0.076413622333028,0.0826738661580347,0.1200603778704928,0.7176095037077255,0.9080011284098702,0.9076077663407087,0.9063283392060109,0.9048325746944692,0.9037504629237937,0.8373776705130344,0.835632371918239,0.8309692505569408,0.8239220497218951,0.818954565221145,0.9061040543149705,0.8293711815862508,False,-1.0,False
150,10,2200,7,30,0.1350245430928219,123.22338177221332,143574,1022044,143574,0.1404773180019647,0.7638947051203275,0.0956279768777078,0.0144162090868886,0.0204981403318149,0.0292511868373572,0.039157507626729,0.0396969210718912,0.0531642219343335,0.0588673286081616,0.0797149901792803,0.0885725076415496,0.1256634209536545,0.5748283468531458,0.8820251256413895,0.8775008386371601,0.8757220922812057,0.8758188945773363,0.8756540956738388,0.821274061978766,0.8182682038066293,0.8146828678820749,0.8080722681441102,0.8015649817547401,0.8773442093621859,0.812772476713264,False,-1.0,False
