Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
5,30,50,0.7722061870570822,84.06370907146815,1997659,1997659,0.044581682859787385,0.08384113604974623,0.12008055428879504,0.17041797423884658,0.2598816915199241
5,30,100,0.7743764144035757,85.0053960230399,1975529,1975529,0.04379890145879914,0.08285173237143063,0.11915745099160782,0.16944980306540677,0.2590131554636758
5,30,150,0.7749601376192495,85.20794252988458,1970833,1970833,0.04363078962042954,0.0826361239130865,0.11891976641349115,0.16912899266452308,0.2586870627800529
5,30,200,0.7750824512795982,85.28514272626025,1969049,1969049,0.04352456439631518,0.08250632665819896,0.11883046079604927,0.1689836057914252,0.25846944387874554
5,30,300,0.7752055889154708,85.34456603163729,1967678,1967678,0.04345883828553249,0.08240067734659838,0.11871657862719408,0.1688391088379298,0.2582719327044364
10,5,50,0.7167872203411594,27.0104911554763,6217237,6217237,0.04886495399805412,0.08454141284946995,0.10829086940066786,0.15042566336139349,0.21776988717013684
10,5,100,0.7169342592623529,27.015214401196882,6216150,6216150,0.048836820218302324,0.08450117838211754,0.10824079213017704,0.1503723365748896,0.21770919298922967
10,5,150,0.7169103746642136,27.015970621508192,6215976,6215976,0.04882773035159724,0.08449083458494691,0.10822821709736331,0.15036303228969997,0.21770032574128342
10,5,200,0.7169184519934998,27.016257474770388,6215910,6215910,0.04882551388292301,0.08448835327409825,0.10822598782800909,0.15035964162930288,0.21769781093999108
10,5,300,0.7169317376331347,27.016453060032674,6215865,6215865,0.048823936813299516,0.08448542560045946,0.10822049706677993,0.15035574292556225,0.2176934344616558
10,10,50,0.7364697710065156,29.421103014824023,5707829,5707829,0.047458149149177384,0.08255783416076411,0.1052578835140296,0.14624404480232325,0.21311868312803345
10,10,100,0.7366652264766701,29.43334493042185,5705455,5705455,0.0473986737254084,0.08247300171502536,0.10516251552242546,0.1461453994466699,0.21300071598145984
10,10,150,0.7367044426373958,29.43527961045244,5705080,5705080,0.04738636443310173,0.08245300679394504,0.10513945466145962,0.1461202998029826,0.2129712466783989
10,10,200,0.7367225302428437,29.436409581232567,5704861,5704861,0.04738292484251588,0.08244828401603474,0.10513297344142127,0.14611416474476766,0.21296574973518198
10,10,300,0.7367504413060982,29.436837857669484,5704778,5704778,0.047377479018464876,0.08244159544858713,0.10512766666818586,0.14610331900733034,0.21295219551050015
10,15,50,0.7381276593876331,43.99065362538429,3817416,3817416,0.04926866760133032,0.09090258960511509,0.12004612544192197,0.17182198639079418,0.2427836002154337
10,15,100,0.7389969182161075,44.10926306836792,3807151,3807151,0.049087887504330664,0.09068592236031615,0.119829237138217,0.1716136291941139,0.24244297113510865
10,15,150,0.7391149787832219,44.13563674611209,3804876,3804876,0.04901263536577802,0.0906202987955455,0.11976001320410967,0.17154251544596985,0.24235165613807125
10,15,200,0.7392151680835614,44.14428025743593,3804131,3804131,0.04899384379770308,0.09059624918279628,0.11973404701362808,0.17150750066178058,0.24227872278846338
10,15,300,0.7392993288244223,44.1508957001084,3803561,3803561,0.04898120471842045,0.09059299956014903,0.11973858181845908,0.17152610409035113,0.24226507738406194
10,20,50,0.7351451102450582,60.6371644892061,2769434,2769434,0.055708133864175856,0.09979548167603922,0.13270978835386582,0.1846276170509931,0.2669068842225523
10,20,100,0.7369576697978601,61.00343613026127,2752806,2752806,0.05550481944604887,0.09953843460091266,0.13245793564820768,0.18429595111315508,0.26647609748017115
10,20,150,0.7373991690425481,61.091273508029545,2748848,2748848,0.05547705802576206,0.09948713060889507,0.1324489386099195,0.18424445440417223,0.26638286293021657
10,20,200,0.7376894555492058,61.11521848072492,2747771,2747771,0.055473691220993306,0.09944787975417166,0.13240659429042667,0.18418856593216829,0.26632605118839964
10,20,300,0.7377217306439479,61.141541796585436,2746588,2746588,0.05542695154861232,0.09940005563266133,0.1323773350790144,0.18413573495551572,0.26624488274178726
10,30,50,0.7392274111200003,82.03967719683587,2046944,2046944,0.04219900495568027,0.0801844114934263,0.11560062219581972,0.1646859904325668,0.2524983585286163
10,30,100,0.7427401043490102,82.92002269392044,2025212,2025212,0.04161292743673255,0.07935465521634279,0.11483736023685422,0.16375668325093867,0.25158748812470005
10,30,150,0.743375920852681,83.11706133059066,2020411,2020411,0.041435133742589995,0.07910073742421715,0.11461232392815125,0.16350287144546333,0.2512147280924525
10,30,200,0.7438631839480381,83.20012098727999,2018394,2018394,0.04127786745303444,0.07892908916693173,0.11440382799393974,0.16322977575240513,0.25095992160103525
10,30,300,0.7440399833539458,83.2654249704112,2016811,2016811,0.04122002507919681,0.07881997866929524,0.11428735761556238,0.16311692072286396,0.2508321305268565
15,5,50,0.6894904620842679,26.98335692406623,6223489,6223489,0.048766535941495194,0.0843568615610954,0.10808969052568422,0.15019292233022344,0.21750982447305683
15,5,100,0.6896288528111371,26.988304897122436,6222348,6222348,0.04873047923388406,0.08428699262722046,0.10801003094008886,0.15011085847336086,0.21741937287981963
15,5,150,0.6896745985074341,26.988972860698333,6222194,6222194,0.04872268527789394,0.08427782868872298,0.10799904342423268,0.1501023593928444,0.21740803967217995
15,5,200,0.6896779153612782,26.98921576474196,6222138,6222138,0.04872167733984685,0.08427601573607015,0.10799583680079099,0.15009679952453642,0.21740549631011077
15,5,300,0.689681127499853,26.989393607974932,6222097,6222097,0.048723123410001484,0.08427817824119424,0.1079978341706984,0.15009891359777902,0.21740532171067087
15,10,50,0.7109131315915345,29.36339819613271,5719046,5719046,0.047267149101441044,0.08216352867243942,0.1048229022812546,0.145725178639934,0.21249453143059174
15,10,100,0.7111904003937872,29.37642460172378,5716510,5716510,0.04719313007411865,0.08206108272354985,0.10469779638275802,0.14559915053065595,0.21235841448716086
15,10,150,0.7112506455233375,29.379076500080302,5715994,5715994,0.047178495988624204,0.08203647519574023,0.10467103359450693,0.1455615593718258,0.21231022985678433
