Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20,Utility_Score,Privacy_Score_k1,Privacy_Score_k3,Privacy_Score_k5,Privacy_Score_k10,Privacy_Score_k20,Privacy_Score_Avg,Pareto_Member,Chord_Distance,Plateau_Member
15,30,450,0.7299753285111064,82.10188702122282,2045393,2045393,0.040182986839204,0.0770526739849016,0.1120806612714524,0.1603041567072929,0.2470566781053812,0.4784705467559032,0.5081499107797378,0.49253393001752055,0.4356681676120496,0.42582394556316455,0.37862313940319475,0.44815981867513344,False,-1.0,False
15,45,50,0.7330883731506733,101.11661092919996,1660762,1660762,0.027369364183429,0.0562807915884395,0.0825422306146214,0.1224323533414179,0.2068261436617649,0.5494744691644233,0.6597990651433345,0.6470917930784486,0.6038722424774732,0.594591683174202,0.5088745712961555,0.6028458710339228,False,-1.0,False
15,45,100,0.738960539131332,102.66283213378092,1635749,1635749,0.0260767391574135,0.0545890598129664,0.0808204681769635,0.1204163964031156,0.2047905882870782,0.5546937335440177,0.662945006533993,0.6473949494899254,0.6012345201003488,0.5910987948205241,0.502970435041254,0.601128741197209,False,-1.0,False
15,45,150,0.7401282919563732,103.02991678737804,1629921,1629921,0.0257981828567151,0.0541971052584757,0.0803364089425193,0.1197904683723935,0.2040828972692541,0.5559230636507408,0.6638365112706743,0.6478866364548115,0.601549321459534,0.5914474325755508,0.5028282324632561,0.6015096268447654,False,-1.0,False
15,45,200,0.7406852801948036,103.16638151084464,1627765,1627765,0.0256271636261991,0.0539125733751493,0.0800170786323578,0.1194509035395158,0.2037167527253627,0.5563791342663624,0.6647335676306447,0.6488791954381132,0.6022235044735749,0.5918038613552685,0.5028578198735543,0.6020995897542312,False,-1.0,False
15,45,300,0.7412129504451516,103.23354373808176,1626706,1626706,0.0255547099475873,0.0538124283060368,0.0798872076453889,0.1192729356134421,0.2035032759453767,0.5566034078461124,0.6644758458446676,0.648503465335911,0.6018392723883738,0.5914752258935654,0.5024313979955055,0.6017450414916047,False,-1.0,False
35,15,50,0.6694551055356884,43.36374826860686,3872604,3872604,0.0483287214494433,0.0892567378435801,0.1179686846370039,0.1691399378815908,0.2395233284890476,0.24142390698516364,0.5397395654278879,0.530049163355937,0.5331038191004918,0.5171824067316155,0.5366090676451105,0.5313368044522084,False,-1.0,False
20,5,450,0.6708442182337856,26.96817308129301,6226993,6226993,0.0487688038191146,0.0842608944638286,0.1079734632751313,0.1500412799564733,0.2165117256435008,0.0011247011336385244,0.5312602776970815,0.5658217027436998,0.5892867379384525,0.6026868391391307,0.6119680724133248,0.5802047259863378,False,-1.0,False
20,10,450,0.6937961637894813,29.335781029726977,5724430,5724430,0.0471538651009794,0.0819131337093824,0.1045061255007048,0.1453154287850493,0.2119915869352931,0.05021830616010292,0.501048826767213,0.5338779722698015,0.5596480872563165,0.5744138697170146,0.5771852592995113,0.5492348030619714,False,-1.0,False
20,15,450,0.6992710029211135,43.831673479913405,3831262,3831262,0.0484837633134982,0.0896472232909156,0.1185572795595811,0.169988374587799,0.2403476974427747,0.24599330397957456,0.4726328999006068,0.4618263270117139,0.46442709870212256,0.448059654368783,0.4686112086884388,0.463111437734333,False,-1.0,False
35,10,450,0.6627225163252709,29.24896554354749,5741421,5741421,0.0469265361310379,0.0814580571604137,0.103954752664889,0.1446706311904317,0.2112025925289227,0.0485453594487677,0.5717993484143022,0.6053525189750846,0.6308542138927791,0.6453424900448702,0.6478125449824965,0.6202322232619065,False,-1.0,False
35,20,50,0.6768449462429912,59.18239054664125,2837510,2837510,0.0539032461559606,0.0968588656956275,0.1291364611930883,0.1797047411286656,0.2597837540660649,0.36380307514485277,0.454646888744275,0.4548356952804831,0.450779422300461,0.45204673875821805,0.45142852288055196,0.45274745359279783,False,-1.0,False
35,15,100,0.6709495866041897,43.50420494178779,3860101,3860101,0.0481616931784945,0.0890354941489872,0.1177541727535108,0.168949465311918,0.2392188701798217,0.24280376836009823,0.5385375373063613,0.5285003430316485,0.5311072383059496,0.5147979105942149,0.5343787702043898,0.5294643598885128,False,-1.0,False
50,55,450,0.7691654831967796,137.28009760723307,1223270,1223270,0.0181219191184284,0.0430060411846934,0.064227848308223,0.1046964284254498,0.1787446761548963,0.6584840998467691,0.6952757057338796,0.6713364276040821,0.6335031093511836,0.5979367349311387,0.525663905544972,0.6247431766330512,False,-1.0,False
55,90,800,0.8285717150561124,216.68915100182716,774984,774984,0.0203720334871429,0.0431983111909407,0.0600244650212133,0.0935025755370433,0.1649027592827723,0.8524901266978184,0.5375647854686583,0.5399571868183544,0.5285218646420807,0.5199459465983959,0.4429350739892019,0.5137849715033382,False,-1.0,False
65,75,700,0.8269500907136306,206.49247528137,813253,813253,0.0208077929008561,0.044507674733447,0.0609933194221232,0.098371601457357,0.1711275580907786,0.8292865275247883,0.5357216228087329,0.5333310466036476,0.5263270736473868,0.5009186045720317,0.42527388240908454,0.5043144460081768,False,-1.0,False
