Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
10,100,200,7,30,0.5619422697844237,112.83444818151031,584724,1116146,0.03496675166152098,0.06516351803437902,0.0872403789468403,0.12500963135647128,0.18767347640900026
10,100,200,7,60,0.5764286282068605,127.96411022373955,584724,984180,0.03724928366762178,0.06901176614034019,0.09229002824686541,0.13231116259220874,0.19866284622731614
10,100,200,20,30,0.5643329285273945,113.09759875856383,580905,1113549,0.034960293619768865,0.06516641836147309,0.08729476655270671,0.12504883036130426,0.1877609337352914
10,100,200,20,60,0.5788981368204186,128.32672338162155,580905,981399,0.037279434766083926,0.06905957719541185,0.09240380314224897,0.13243135564637828,0.1988335019701467
10,100,450,7,30,0.4758440769982721,149.10178581576406,269352,844656,0.0289028906442386,0.05498451440586464,0.07327953628459397,0.1050984069254229,0.1560587979011574
10,100,450,7,60,0.4926806582005673,177.434614338789,269352,709781,0.030801049901307588,0.05814328645032764,0.0773759793513774,0.11117513711975947,0.1649212926240629
10,100,450,20,30,0.483543949076125,149.9326979969642,262725,839975,0.029047293074198635,0.05524569183606655,0.07363909640167862,0.10549004434655794,0.15669513973630167
10,100,450,20,60,0.5006362236913748,178.63815125978903,262725,704999,0.03095465383638842,0.05842277790464951,0.0777660677532876,0.11159732141464031,0.16560449021913506
10,100,700,7,30,0.42833805134594066,163.65669442365268,180252,769536,0.025944205339321357,0.04990929599135063,0.06639585412508317,0.09583957085828343,0.14223636061210912
10,100,700,7,60,0.4442659047965321,198.479671311633,180252,634522,0.027277226006348087,0.05192097358326425,0.06897317981094431,0.09990354944351812,0.14830849048575148
10,100,700,20,30,0.44192226899206594,164.9768764622507,171486,763378,0.026089303071348664,0.05025557456463246,0.06689346562253562,0.09616467857339352,0.14266457770593335
10,100,700,20,60,0.45890163652264704,200.58566877966425,171486,627860,0.02756187685152741,0.05249896473736183,0.06964769216067276,0.10040136336125888,0.148950402956073
35,10,200,7,30,0.4746099686073095,93.58517168837867,595829,1345723,0.027816274225825076,0.05290093132093306,0.07183276201714617,0.10452225309369016,0.15884398200818445
35,10,200,7,60,0.48163446255047043,104.0238659068739,595829,1210681,0.02869294223664202,0.054333057180215104,0.07380474295045515,0.10768815237044276,0.16406303559732086
35,10,200,20,30,0.48264203313833115,94.31948719561788,581504,1335246,0.027921446684730754,0.05304340922946034,0.07206387437221307,0.10479866631317375,0.15926278753128637
35,10,200,20,60,0.489734121551395,104.98309713333984,581504,1199619,0.02884082362816861,0.05455398755771624,0.0741368717901267,0.10810348952459073,0.16468145302800305
35,10,450,7,30,0.38019506895307464,117.39161292186832,287556,1072817,0.022073662143683406,0.04299894576614651,0.05844146765012113,0.08525498757010748,0.12840866615648336
35,10,450,7,60,0.3859899712374519,134.33598578343634,287556,937498,0.02226138082427909,0.04315422539568085,0.058675325174027036,0.08610685036128077,0.13003227740219178
35,10,450,20,30,0.4034268447840237,119.26843792468286,263159,1055935,0.022293038870763827,0.043402292754762366,0.05893260475313348,0.08600055874651376,0.12923617457513956
35,10,450,20,60,0.4095722815680214,136.88281461434372,263159,920055,0.022511697670247976,0.04358978539326453,0.05924428430909022,0.08690893479194178,0.13091608653830478
35,10,700,7,30,0.3234785325365796,126.13295368504549,204706,998468,0.01984340008893625,0.03890760645308613,0.05278386488099769,0.07727738895988655,0.11609986499316953
35,10,700,7,60,0.32828759400652374,145.82550458354416,204706,863633,0.019628708027599688,0.03832414926247608,0.05197693927860561,0.07662282474152794,0.11556645010091092
35,10,700,20,30,0.3622081764215594,128.82738380805762,174259,977585,0.019932793567822748,0.03916897251901369,0.05307057698307564,0.07773748574292773,0.11666300117125365
35,10,700,20,60,0.36755084655827647,149.56891420373435,174259,842018,0.01976204784220765,0.0386298155146327,0.052324297105287534,0.07722875282951196,0.11631817847124408
35,50,200,7,30,0.4748876958915537,93.60485640385302,595494,1345440,0.027798341063146628,0.0528867879652753,0.07182706029254371,0.10453234629563563,0.15887442026400286
35,50,200,7,60,0.48182604152744746,104.05583863294414,595494,1210309,0.028673669286107928,0.054313402610407756,0.07380016177686856,0.10772042511457817,0.16411015699296627
35,50,200,20,30,0.4832004896832487,94.36528302904695,581071,1334598,0.02793050791324429,0.053075907501734604,0.07209811493798132,0.10485929096252204,0.1593476087930598
35,50,200,20,60,0.4901895950767277,105.02678464207085,581071,1199120,0.028855327239975984,0.05457418773767429,0.07415854960304223,0.10816932417105878,0.16474497965174462
35,50,450,7,30,0.3806780620288007,117.49872695432803,286872,1071839,0.022086339459564355,0.04305404076545078,0.05853397758432003,0.08537569541694229,0.12849037961858079
35,50,450,7,60,0.38648917527133886,134.46277548702028,286872,936614,0.022294136111567837,0.04322378268956048,0.058778749837179456,0.08623509791653766,0.13010909510214452
35,50,450,20,30,0.40528527367756834,119.42145608402191,261969,1054582,0.022355776980832215,0.043528146696985154,0.05906605650390392,0.08609098201941623,0.12932801811523428
35,50,450,20,60,0.41136323503791333,137.07291742627987,261969,918779,0.022559287924517214,0.043711273331236346,0.059359214783968724,0.08699698186397382,0.13102062628771446
35,50,700,7,30,0.32448105831540575,126.22043224130466,203875,997776,0.019844133352576128,0.038943610589952056,0.05279942592325332,0.07733298856657206,0.11616334728436042
35,50,700,7,60,0.3293101241202072,145.95766592378058,203875,862851,0.019644179586046723,0.03836120025357796,0.051992754253051804,0.07669226784230418,0.11559237921726927
35,50,700,20,30,0.3648573266176378,129.08434164685914,172585,975639,0.01998485095409265,0.03933729586455646,0.05324100410090207,0.0779130395566393,0.11691414549848868
35,50,700,20,60,0.37002973009262485,149.92752177370585,172585,840004,0.019801096185256262,0.03877362488750054,0.05246879776762968,0.0773579649620716,0.1165244451216899
35,100,200,7,30,0.4748876958915537,93.60485640385302,595494,1345440,0.027798341063146628,0.0528867879652753,0.07182706029254371,0.10453234629563563,0.15887442026400286
35,100,200,7,60,0.48182604152744746,104.05583863294414,595494,1210309,0.028673669286107928,0.054313402610407756,0.07380016177686856,0.10772042511457817,0.16411015699296627
35,100,200,20,30,0.4832004896832487,94.36528302904695,581071,1334598,0.02793050791324429,0.053075907501734604,0.07209811493798132,0.10485929096252204,0.1593476087930598
35,100,200,20,60,0.4901895950767277,105.02678464207085,581071,1199120,0.028855327239975984,0.05457418773767429,0.07415854960304223,0.10816932417105878,0.16474497965174462
35,100,450,7,30,0.3806780620288007,117.49872695432803,286872,1071839,0.022086339459564355,0.04305404076545078,0.05853397758432003,0.08537569541694229,0.12849037961858079
35,100,450,7,60,0.38648917527133886,134.46277548702028,286872,936614,0.022294136111567837,0.04322378268956048,0.058778749837179456,0.08623509791653766,0.13010909510214452
35,100,450,20,30,0.40528527367756834,119.42145608402191,261969,1054582,0.022355776980832215,0.043528146696985154,0.05906605650390392,0.08609098201941623,0.12932801811523428
35,100,450,20,60,0.41136323503791333,137.07291742627987,261969,918779,0.022559287924517214,0.043711273331236346,0.059359214783968724,0.08699698186397382,0.13102062628771446
35,100,700,7,30,0.32448105831540575,126.22043224130466,203875,997776,0.019844133352576128,0.038943610589952056,0.05279942592325332,0.07733298856657206,0.11616334728436042
35,100,700,7,60,0.3293101241202072,145.95766592378058,203875,862851,0.019644179586046723,0.03836120025357796,0.051992754253051804,0.07669226784230418,0.11559237921726927
35,100,700,20,30,0.3648573266176378,129.08434164685914,172585,975639,0.01998485095409265,0.03933729586455646,0.05324100410090207,0.0779130395566393,0.11691414549848868
35,100,700,20,60,0.37002973009262485,149.92752177370585,172585,840004,0.019801096185256262,0.03877362488750054,0.05246879776762968,0.0773579649620716,0.1165244451216899
50,10,200,7,30,0.4618631116077369,90.77757066740477,601312,1387344,0.02679436390686088,0.05103853117900103,0.06884161390397767,0.10034425492163443,0.15419391297327845
50,10,200,7,60,0.46671334593964126,100.23121356920697,601312,1256492,0.027449438595709325,0.052049674808912434,0.07023602219512738,0.10272807148792033,0.1582596626162363
50,10,200,20,30,0.47221992924873407,91.76122937298538,581573,1372472,0.026908381373171912,0.05125277601291684,0.06905933235796431,0.1006067883352083,0.154650878123561
50,10,200,20,60,0.4772315127496981,101.4620084592145,581573,1241250,0.027612487411883182,0.0523166163141994,0.07050070493454179,0.10308559919436053,0.1588616314199396
50,10,450,7,30,0.36622116230853746,113.09963009495038,295702,1113529,0.021427371896017077,0.04173039049723896,0.056260770936365376,0.08209036316072595,0.1246523440341473
50,10,450,7,60,0.37013441865194485,128.27496371442103,295702,981795,0.021386338288542923,0.04147810897386929,0.05593733926125108,0.08212203158500501,0.12505360080261155
50,10,450,20,30,0.39671305617791025,115.4843430059558,263149,1090535,0.02156097695167968,0.0420298293956636,0.056701527232046654,0.08266126259129693,0.12547144291563314
50,10,450,20,60,0.40094658424518215,131.41252397339605,263149,958354,0.021541100678872317,0.04180083768628294,0.056430087420723446,0.0827262159911682,0.12607658547885228
