Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,Total_Segments_Rotation,Rotation_Threshold,Session_Gap,End_Of_Stream,kNN_Accuracy_k1_Segments,kNN_Accuracy_k1_Rotation,kNN_Accuracy_k3_Segments,kNN_Accuracy_k3_Rotation,kNN_Accuracy_k5_Segments,kNN_Accuracy_k5_Rotation,kNN_Accuracy_k10_Segments,kNN_Accuracy_k10_Rotation,kNN_Accuracy_k20_Segments,kNN_Accuracy_k20_Rotation
10,100,700,20,60,0.45890163652264704,200.58566877966425,171486,627860,171486,0.27312776733666744,0.703034115885707,0.023838116777625585,0.02754435702226611,0.05565468901251414,0.05246073965533718,0.10063212157260651,0.06914598795909917,0.1323315022800695,0.09955404070971235,0.18765380264278134,0.14858726467683878,0.28412231902312723
35,10,200,7,30,0.4746099686073095,93.58517168837867,595829,1345723,595829,0.4427575362834699,0.5358153200918763,0.02142714362465381,0.027817017320800788,0.045192496504869686,0.05290464679581162,0.08358774077797489,0.0710688603821143,0.1123107468753619,0.10337565754616664,0.1632196485904513,0.15835131003928743,0.2537506566481323
35,10,200,7,60,0.48163446255047043,104.0238659068739,595829,1210681,595829,0.4921436778143871,0.48403914821493027,0.023817173970682615,0.02869542018087341,0.04532676321562059,0.054336361105856955,0.08391837255319899,0.0730068449079485,0.11265984032331423,0.10650452100925016,0.1635989520483226,0.16353440749462492,0.2540527567473218
35,10,200,20,30,0.48264203313833115,94.31948719561788,581504,1335246,581504,0.435503270558384,0.5419817771406916,0.022514952300924325,0.027922195610396886,0.046028918115782524,0.05304415815512647,0.0849813586836892,0.07129248093609716,0.11417290336781863,0.10363858045633538,0.1657237095531587,0.15877448799696836,0.25771619799691836
35,10,200,20,60,0.489734121551395,104.98309713333984,581504,1199619,581504,0.4847405717982126,0.49019897150678676,0.025060456695000663,0.028843324422170705,0.046188848228043144,0.05455482115571694,0.08534936990975127,0.0733291153274498,0.1145735884877834,0.10689810681558061,0.16619490149680827,0.16415962067956577,0.25811172408100375
35,10,450,7,30,0.38019506895307464,117.39161292186832,287556,1072817,287556,0.2680382581558644,0.6999749258261194,0.03198681601801612,0.022075526394529543,0.043709746971024775,0.043000810016992644,0.08153194508200141,0.057953966053856346,0.10975253515836915,0.08440768556053828,0.15912378806215138,0.12808615076010169,0.24663717675861396
35,10,450,7,60,0.3859899712374519,134.33598578343634,287556,937498,287556,0.3067270543510493,0.6566691342274864,0.03660381142146436,0.02226244749322132,0.04407837082168343,0.04315422539568085,0.08207444810749906,0.05817932411589145,0.11035067951981527,0.08524284851807684,0.15984712542948157,0.12968560999596798,0.2472179332025762
35,10,450,20,30,0.4034268447840237,119.26843792468286,263159,1055935,263159,0.24921893866573228,0.715917172932046,0.03486388840222173,0.022296826982721476,0.0468652031661467,0.04339471653084707,0.08706523432601583,0.05841458044292499,0.11714590798718645,0.08513781624815922,0.16944508833062902,0.12889240341498293,0.26243449777510935
35,10,450,20,60,0.4095722815680214,136.88281461434372,263159,920055,263159,0.28602529196624116,0.6739618827135334,0.040012825320225424,0.022517132127970612,0.047230001633993136,0.04358217715245284,0.08760103207566529,0.05872583704235073,0.11780710521015812,0.08602637885778568,0.1701632853142017,0.1305421958469874,0.2629208957322379
35,10,700,7,30,0.3234785325365796,126.13295368504549,204706,998468,204706,0.20502009077907354,0.7583798379116807,0.036600071309245766,0.019844401623286875,0.04131290729143259,0.038912614124839255,0.07650972614383555,0.05239927569035763,0.10289879143747618,0.07655428115873518,0.14975623577227828,0.11583345685590324,0.23294383164147606
35,10,700,7,60,0.32828759400652374,145.82550458354416,204706,863633,204706,0.2370289231652797,0.7206568067686159,0.04231427006610447,0.0195615498712995,0.04148388420466425,0.03829057018432598,0.0769249557902553,0.051489463695805975,0.10315769933465556,0.07593734838756741,0.15034732738659345,0.11520055393899956,0.23335906128789582
35,10,700,20,30,0.3622081764215594,128.82738380805762,174259,977585,174259,0.1782545763284011,0.7813151797541902,0.040430243917408716,0.019864257328007284,0.04658582913938448,0.03913623879253467,0.08625092534675396,0.052570364725318,0.11560378517034989,0.07705928384744037,0.16824955956363805,0.11632031997217633,0.26123758313774326
35,10,700,20,60,0.36755084655827647,149.56891420373435,174259,842018,174259,0.20695400810909031,0.7461063777733967,0.04693961411751293,0.01970029144270075,0.04693588279514975,0.03860131256101414,0.08681904521430744,0.051834996401502104,0.11619485937598632,0.07654705718880118,0.16909313148818714,0.1159571410587422,0.2621442794920205
35,50,200,7,30,0.4748876958915537,93.60485640385302,595494,1345440,595494,0.44260167677488405,0.5359540373409443,0.021444285884171722,0.02772847544297776,0.04512052178527407,0.05285928766797479,0.08360117818147622,0.07094036151742181,0.11217913194759309,0.1034390236651207,0.16336856458671287,0.1582411701748127,0.2537137233960376
35,50,200,7,60,0.48182604152744746,104.05583863294414,595494,1210309,595494,0.49201815404165383,0.484143305552549,0.023838540405797196,0.0286083966986943,0.045273336087349327,0.05428696308132882,0.08394375090261195,0.07287560449438944,0.11255193167353492,0.10658269912890014,0.1638001390442221,0.16343099158975105,0.2540395033367255
35,50,200,20,30,0.4832004896832487,94.36528302904695,581071,1334598,581071,0.4353902823172221,0.5420890785090342,0.022520639173743705,0.027862322587026207,0.04599610030443784,0.05304593592977061,0.08505328952916252,0.07120795925065075,0.11408932815439077,0.10376308071793904,0.16596078620340715,0.15870996359952586,0.257713773359882
35,50,200,20,60,0.4901895950767277,105.02678464207085,581071,1199120,581071,0.48458119287477486,0.4903537594235773,0.025065047701647875,0.02879111348322103,0.04618368495416223,0.05454833544599373,0.08543017978870052,0.0732253652678631,0.11450752145606992,0.10702431783307759,0.1664615855893686,0.16406281272933484,0.25812336186111506
35,50,450,7,30,0.3806780620288007,117.49872695432803,286872,1071839,286872,0.2676446742467852,0.7003113340716283,0.03204399168158651,0.0220210311436699,0.04381396581053571,0.04300925792026601,0.08171240134973089,0.05793220810214967,0.10982947098357455,0.0845733361073818,0.1594753060598455,0.12805747878179466,0.24676859365849577
35,50,450,7,60,0.38648917527133886,134.46277548702028,286872,936614,286872,0.30628626093566824,0.6570433497684212,0.036670389295910585,0.02223114324577681,0.044179982710058845,0.043184278688979665,0.08223179675953038,0.058171242368788,0.11046738615131488,0.08541405530987152,0.16023174098552664,0.1296403854736316,0.24740999470146965
35,50,450,20,30,0.40528527367756834,119.42145608402191,261969,1054582,261969,0.2484102706095875,0.7166261134743434,0.03496361591606911,0.022287503484793025,0.047150617057743476,0.043478838060956856,0.08760578541735854,0.058429785450538695,0.11760933545572186,0.0852726483099465,0.17026060335383195,0.12888708511998118,0.26324488775389454
35,50,450,20,60,0.41136323503791333,137.07291742627987,261969,918779,261969,0.28512732659322865,0.6747411510276138,0.040131522379157555,0.022497249066424026,0.04743691047414007,0.043671002493526734,0.08807912386580091,0.05872467698978753,0.11818955677961897,0.08616326668328292,0.17091716958876813,0.13055152544844842,0.2636533330279537
